2016-04-07T02:05:41.428Z,97,79,92,61,99,100,NA
2016-04-07T02:05:41.529Z,101,72,107,70,66,64,2
2016-04-07T02:05:41.628Z,109,74,95,61,94,97,1
2016-04-07T02:05:41.729Z,112,79,103,62,87,90,2
2016-04-07T02:05:41.829Z,104,70,100,72,63,78,NA
2016-04-07T02:05:41.929Z,91,66,113,80,94,64,2
2016-04-07T02:05:42.028Z,119,69,112,66,78,89,NA
2016-04-07T02:05:42.128Z,102,76,90,68,88,94,1
2016-04-07T02:05:42.228Z,92,70,105,78,98,93,2
2016-04-07T02:05:42.329Z,103,65,101,70,95,90,NA
2016-04-07T02:05:42.428Z,116,78,92,76,94,94,2
2016-04-07T02:05:42.528Z,102,70,107,62,96,73,1
2016-04-07T02:05:42.629Z,111,75,107,65,99,87,NA
2016-04-07T02:05:42.728Z,91,63,105,60,83,100,1
2016-04-07T02:05:42.829Z,112,78,96,70,99,74,NA
2016-04-07T02:05:42.929Z,98,61,117,68,80,98,NA
2016-04-07T02:05:43.028Z,109,74,104,76,84,98,2
2016-04-07T02:05:43.129Z,105,66,100,68,69,96,2
2016-04-07T02:05:43.228Z,116,62,116,69,84,96,NA
2016-04-07T02:05:43.329Z,113,66,92,64,65,80,1
2016-04-07T02:05:43.429Z,99,74,113,73,60,82,1
2016-04-07T02:05:41.428Z,97,79,92,61,99,100,NA
2016-04-07T02:05:41.529Z,101,72,107,70,66,64,2
2016-04-07T02:05:41.628Z,109,74,95,61,94,97,1
2016-04-07T02:05:41.729Z,112,79,103,62,87,90,2
2016-04-07T02:05:41.829Z,104,70,100,72,63,78,NA
2016-04-07T02:05:41.929Z,91,66,113,80,94,64,2
2016-04-07T02:05:42.028Z,119,69,112,66,78,89,NA
2016-04-07T02:05:42.128Z,102,76,90,68,88,94,1
2016-04-07T02:05:42.228Z,92,70,105,78,98,93,2
2016-04-07T02:05:42.329Z,103,65,101,70,95,90,NA
2016-04-07T02:05:42.428Z,116,78,92,76,94,94,2
2016-04-07T02:05:42.528Z,102,70,107,62,96,73,1
2016-04-07T02:05:42.629Z,111,75,107,65,99,87,NA
2016-04-07T02:05:42.728Z,91,63,105,60,83,100,1
2016-04-07T02:05:42.829Z,112,78,96,70,99,74,NA
2016-04-07T02:05:42.929Z,98,61,117,68,80,98,NA
2016-04-07T02:05:43.028Z,109,74,104,76,84,98,2
2016-04-07T02:05:43.129Z,105,66,100,68,69,96,2
2016-04-07T02:05:43.228Z,116,62,116,69,84,96,NA
2016-04-07T02:05:43.329Z,113,66,92,64,65,80,1
2016-04-07T02:05:43.429Z,99,74,113,73,60,82,1
2016-04-07T02:05:41.428Z,97,79,92,61,99,100,NA
2016-04-07T02:05:41.529Z,101,72,107,70,66,64,2
2016-04-07T02:05:41.628Z,109,74,95,61,94,97,1
2016-04-07T02:05:41.729Z,112,79,103,62,87,90,2
2016-04-07T02:05:41.829Z,104,70,100,72,63,78,NA
2016-04-07T02:05:41.929Z,91,66,113,80,94,64,2
2016-04-07T02:05:42.028Z,119,69,112,66,78,89,NA
2016-04-07T02:05:42.128Z,102,76,90,68,88,94,1
2016-04-07T02:05:42.228Z,92,70,105,78,98,93,2
2016-04-07T02:05:42.329Z,103,65,101,70,95,90,NA
2016-04-07T02:05:42.428Z,116,78,92,76,94,94,2
2016-04-07T02:05:42.528Z,102,70,107,62,96,73,1
2016-04-07T02:05:42.629Z,111,75,107,65,99,87,NA
2016-04-07T02:05:42.728Z,91,63,105,60,83,100,1
2016-04-07T02:05:42.829Z,112,78,96,70,99,74,NA
2016-04-07T02:05:42.929Z,98,61,117,68,80,98,NA
2016-04-07T02:05:43.028Z,109,74,104,76,84,98,2
2016-04-07T02:05:43.129Z,105,66,100,68,69,96,2
2016-04-07T02:05:43.228Z,116,62,116,69,84,96,NA
2016-04-07T02:05:43.329Z,113,66,92,64,65,80,1
2016-04-07T02:05:43.429Z,99,74,113,73,60,82,1
2016-04-07T02:05:41.428Z,97,79,92,61,99,100,NA
2016-04-07T02:05:41.529Z,101,72,107,70,66,64,2
2016-04-07T02:05:41.628Z,109,74,95,61,94,97,1
